LATITUDE;LONGITUDE;PADRAO;CHURRASQUEIRA;PISCINA;PLAYGROUND;PORTARIA;SALAO_FESTAS;QUADRA_POLIESPORTIVA;VAGAS_GARAGEM;BANHEIROS;QUARTOS;AREA;VALOR
-23.54;-46.64;2;0;0;0;1;0;0;1;1;1;29.7;253500
-23.54;-46.63;2;0;0;0;1;0;0;0;0;1;38.73;200000
-23.54;-46.64;2;0;1;0;1;1;0;1;0;1;49.67;475000
-23.54;-46.64;2;0;1;1;1;1;0;1;1;1;41.27;390000
-23.54;-46.64;2;0;0;0;1;0;0;0;1;1;67.42;267000
-23.54;-46.64;2;0;0;0;0;0;0;0;0;0;29.98;220000
-23.54;-46.64;2;0;0;0;0;0;0;0;0;1;21.86;160000
-23.68;-46.59;2;1;1;1;1;1;1;1;0;1;46.5;400000
-23.54;-46.64;2;1;1;0;1;1;0;1;1;1;48.5;428000
-23.54;-46.64;2;1;1;1;1;1;0;1;1;1;46.5;394000
-23.54;-46.64;2;1;1;1;1;1;0;1;0;2;139.63;727000
-23.54;-46.64;1;0;0;0;0;0;0;0;0;1;38.72;158000
-23.54;-46.64;2;1;1;0;1;1;0;1;0;1;47.63;395000
-23.54;-46.64;2;1;1;0;1;1;0;1;1;2;64.01;430000
-23.54;-46.64;2;1;1;1;1;1;0;1;1;2;64.01;487500
-23.54;-46.64;2;1;1;0;1;1;0;1;0;1;26.46;218000
-23.52;-46.62;2;1;1;1;1;1;1;1;0;2;48.03;360000
-23.53;-46.63;2;0;0;0;0;0;0;1;0;2;46.72;330000
-23.53;-46.63;2;1;1;1;1;1;1;1;0;2;46.72;353989
-23.53;-46.63;2;1;1;1;1;0;0;1;0;2;46.72;330000
-23.53;-46.63;2;1;1;1;1;1;0;1;0;2;46.72;352000
-23.53;-46.63;2;1;1;1;1;1;1;1;0;2;46.72;360000
-23.53;-46.63;1;1;0;1;1;1;1;0;0;2;43.52;270000
-23.53;-46.63;2;1;1;1;1;1;1;1;0;2;46.72;350000
-23.53;-46.63;2;1;0;1;0;1;0;0;0;1;32.43;200000
-23.53;-46.63;1;1;1;1;1;1;1;1;0;2;48;415000
-23.52;-46.62;2;0;0;0;0;0;0;0;0;2;80.1;307000
-23.52;-46.64;2;0;0;0;0;0;0;0;1;3;105.94;300000
-23.52;-46.63;2;0;0;0;0;0;0;0;0;2;59.4;300000
-23.52;-46.63;2;0;0;0;0;0;0;0;0;1;48.36;210410
-23.52;-46.63;2;0;0;0;0;0;0;0;0;3;107.2;355000
-23.52;-46.63;2;0;0;0;0;0;0;0;0;3;152.7;360000
-23.52;-46.63;2;0;0;0;0;0;0;0;0;0;152.7;445000
-23.52;-46.63;2;0;0;0;0;0;0;;1;2;70;338000
-23.52;-46.63;1;0;0;0;1;1;0;1;1;3;314.21;640000
-23.52;-46.63;2;1;1;0;1;1;0;1;0;2;45.76;367000
-23.52;-46.64;2;0;0;0;1;0;0;0;0;2;110.37;500000
-23.52;-46.63;1;0;0;0;0;0;0;0;2;2;120.84;320000
-23.52;-46.64;2;1;1;1;1;1;0;1;1;2;61.87;357000
-23.52;-46.64;2;0;1;1;1;1;0;1;1;3;61.87;400000
-23.52;-46.64;2;1;1;1;1;1;0;1;1;3;61.87;300000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;3;61.87;378000
-23.52;-46.64;2;0;1;1;1;1;0;1;1;3;61.87;320000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;3;61.87;362000
-23.52;-46.64;2;1;1;1;1;1;0;1;1;2;61.87;337000
-23.52;-46.63;2;1;1;1;1;1;0;1;1;3;61.87;355000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;3;61.87;368000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;3;61.87;368000
-23.52;-46.64;2;0;0;0;0;0;0;0;0;1;51.82;157000
-23.52;-46.64;2;1;1;1;1;1;0;1;1;1;56.56;414000
-23.52;-46.64;2;1;0;1;1;1;1;2;1;2;58.11;300000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;3;67.94;397000
-23.52;-46.64;2;0;1;1;1;1;0;1;1;3;67.87;380000
-23.52;-46.64;2;0;1;1;1;0;1;1;1;3;67.87;465000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;2;67.94;345000
-23.52;-46.64;2;1;1;0;1;1;1;1;1;3;67.87;547497
-23.52;-46.64;2;1;1;1;1;1;1;1;0;3;67.87;456500
-23.52;-46.64;2;0;1;1;1;1;1;2;1;3;67.94;470922
-23.52;-46.64;2;0;1;1;1;1;1;1;1;1;57.73;350000
-23.52;-46.64;2;1;1;1;1;1;1;1;1;2;58.11;350000
-23.52;-46.64;2;1;1;1;1;1;0;1;1;1;56.56;350000
